source,setting,comparison,metric,mean,ci_low,ci_high,std,n,paired_signed_p_value
planner,astar4,semantic_clean_minus_rgb_baseline,utility,0.0531496062992126,0.013779527559055118,0.09453740157480243,0.4732800494286881,508,0.015796840631873626
planner,astar4,semantic_clean_minus_rgb_baseline,found,0.12007874015748031,0.08661417322834646,0.15354330708661418,0.3964218581836109,508,0.0001999600079984003
planner,astar4,semantic_clean_minus_rgb_baseline,success,0.08661417322834646,0.05708661417322835,0.11811023622047244,0.33877891989320913,508,0.0001999600079984003
planner,astar4,semantic_clean_minus_rgb_baseline,unsafe,0.03346456692913386,0.00984251968503937,0.05708661417322835,0.2753197974219703,508,0.010197960407918417
planner,astar4,semantic_clean_minus_rgb_baseline,map_iou,0.07224403189536711,0.04950566440828317,0.09630719475572085,0.27075913756647485,508,0.0001999600079984003
planner,astar4,semantic_clean_minus_rgbd_concat_baseline,utility,0.1377952755905512,0.09251968503937008,0.18503937007874016,0.5261492178321352,508,0.0001999600079984003
planner,astar4,semantic_clean_minus_rgbd_concat_baseline,found,-0.05511811023622047,-0.09055118110236221,-0.01968503937007874,0.4081436614108731,508,0.0033993201359728054
planner,astar4,semantic_clean_minus_rgbd_concat_baseline,success,0.04133858267716536,0.011811023622047244,0.07086614173228346,0.33861269865714255,508,0.007598480303939212
planner,astar4,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.09645669291338582,-0.12598425196850394,-0.0688976377952756,0.3271827687940606,508,0.0001999600079984003
planner,astar4,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.08601055450425721,0.0709425363580318,0.10132025133914722,0.1758359931990369,508,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgb_baseline,utility,-0.0398406374501992,-0.09362549800796813,0.01195219123505976,0.6112765792905971,502,0.17616476704659068
planner,astar4_footprint_r1,semantic_clean_minus_rgb_baseline,found,0.11952191235059761,0.08167330677290836,0.1593625498007968,0.43044952889285415,502,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgb_baseline,success,0.0398406374501992,0.00398406374501992,0.07370517928286853,0.3925534080169227,502,0.035992801439712056
planner,astar4_footprint_r1,semantic_clean_minus_rgb_baseline,unsafe,0.0796812749003984,0.049800796812749,0.10956175298804781,0.35408296839998704,502,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgb_baseline,map_iou,0.07407692931661339,0.05104044487394531,0.09777727061486598,0.26515501440401973,502,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,utility,0.14741035856573706,0.09561752988047809,0.199203187250996,0.604526560382466,502,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,found,-0.11155378486055777,-0.15139442231075698,-0.07370517928286853,0.4462149264362058,502,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,success,0.017928286852589643,-0.01593625498007968,0.049800796812749,0.37602460269640264,502,0.3395320935812837
planner,astar4_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.1294820717131474,-0.16135458167330677,-0.09760956175298804,0.37534725196566243,502,0.0001999600079984003
planner,astar4_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.09801048204522331,0.08290688638418618,0.11346349322338661,0.1749846753194903,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgb_baseline,utility,0.043824701195219126,0.0,0.08565737051792828,0.4955608459546857,502,0.0593881223755249
planner,astar8_footprint_r1,semantic_clean_minus_rgb_baseline,found,0.11952191235059761,0.08167330677290836,0.15737051792828685,0.43044952889285415,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgb_baseline,success,0.08167330677290836,0.049800796812749,0.11354581673306773,0.36199545222248575,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgb_baseline,unsafe,0.037848605577689244,0.01195219123505976,0.06374501992031872,0.29050467647516437,502,0.005598880223955209
planner,astar8_footprint_r1,semantic_clean_minus_rgb_baseline,map_iou,0.07407692931661339,0.05068157168924013,0.0974423205826753,0.26515501440401973,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,utility,0.1553784860557769,0.10557768924302789,0.2051792828685259,0.5754118165783378,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,found,-0.11155378486055777,-0.15139442231075698,-0.07171314741035857,0.4462149264362058,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,success,0.021912350597609563,-0.01195219123505976,0.053784860557768925,0.3758130617369604,502,0.22715456908618276
planner,astar8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.13346613545816732,-0.16533864541832669,-0.10358565737051793,0.3519485789772667,502,0.0001999600079984003
planner,astar8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.09801048204522331,0.08300892803014678,0.11269996427843683,0.1749846753194903,502,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgb_baseline,utility,-0.012345679012345678,-0.06378600823045268,0.0411522633744856,0.5849062413647815,486,0.6986602679464107
planner,astar8_footprint_r2,semantic_clean_minus_rgb_baseline,found,0.13991769547325103,0.102880658436214,0.18106995884773663,0.43668289636174706,486,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgb_baseline,success,0.06378600823045268,0.030864197530864196,0.09670781893004116,0.3661519985905689,486,0.0003999200159968006
planner,astar8_footprint_r2,semantic_clean_minus_rgb_baseline,unsafe,0.07613168724279835,0.043209876543209874,0.10905349794238683,0.36378062827659235,486,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgb_baseline,map_iou,0.08225106146886073,0.06029603359430381,0.10514361631475763,0.25728503767157773,486,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgbd_concat_baseline,utility,0.17901234567901234,0.1337448559670782,0.22633744855967078,0.5361680109161159,486,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgbd_concat_baseline,found,-0.10082304526748971,-0.13786008230452676,-0.06172839506172839,0.4309176752574254,486,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgbd_concat_baseline,success,0.03909465020576132,0.012345679012345678,0.06790123456790123,0.3088295217382786,486,0.007598480303939212
planner,astar8_footprint_r2,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.13991769547325103,-0.1748971193415638,-0.10699588477366255,0.37577575213471415,486,0.0001999600079984003
planner,astar8_footprint_r2,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.1171763838118366,0.1022731471647089,0.13224450015574588,0.16922615679280262,486,0.0001999600079984003
planner,astar8_start16,semantic_clean_minus_rgb_baseline,utility,0.07677165354330709,0.03543307086614173,0.11614173228346457,0.4615510799809485,508,0.0003999200159968006
planner,astar8_start16,semantic_clean_minus_rgb_baseline,found,0.11220472440944881,0.07874015748031496,0.14763779527559054,0.388707286341475,508,0.0001999600079984003
planner,astar8_start16,semantic_clean_minus_rgb_baseline,success,0.09448818897637795,0.06496062992125984,0.12401574803149606,0.3424720634718206,508,0.0001999600079984003
planner,astar8_start16,semantic_clean_minus_rgb_baseline,unsafe,0.017716535433070866,-0.003937007874015748,0.03937007874015748,0.2545078833447405,508,0.15336932613477305
planner,astar8_start16,semantic_clean_minus_rgb_baseline,map_iou,0.07224403189536711,0.048910167431910685,0.09676430611118032,0.27075913756647485,508,0.0001999600079984003
planner,astar8_start16,semantic_clean_minus_rgbd_concat_baseline,utility,0.15354330708661418,0.10826771653543307,0.20078740157480315,0.5292688232577759,508,0.0001999600079984003
planner,astar8_start16,semantic_clean_minus_rgbd_concat_baseline,found,-0.05905511811023622,-0.09448818897637795,-0.025590551181102362,0.3977955687413353,508,0.0009998000399920016
planner,astar8_start16,semantic_clean_minus_rgbd_concat_baseline,success,0.047244094488188976,0.017716535433070866,0.07677165354330709,0.3407444620629873,508,0.0027994401119776045
planner,astar8_start16,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.1062992125984252,-0.13582677165354332,-0.07874015748031496,0.3210554663369898,508,0.0001999600079984003
planner,astar8_start16,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.08601055450425721,0.07047084212101455,0.10126222200529414,0.1758359931990369,508,0.0001999600079984003
planner,astar8_start24,semantic_clean_minus_rgb_baseline,utility,0.07677165354330709,0.03740157480314961,0.11614173228346457,0.4615510799809485,508,0.0003999200159968006
planner,astar8_start24,semantic_clean_minus_rgb_baseline,found,0.11220472440944881,0.07874015748031496,0.14566929133858267,0.388707286341475,508,0.0001999600079984003
planner,astar8_start24,semantic_clean_minus_rgb_baseline,success,0.09448818897637795,0.06496062992125984,0.12406496062992055,0.3424720634718206,508,0.0001999600079984003
planner,astar8_start24,semantic_clean_minus_rgb_baseline,unsafe,0.017716535433070866,-0.003937007874015748,0.03937007874015748,0.2545078833447405,508,0.16996600679864027
planner,astar8_start24,semantic_clean_minus_rgb_baseline,map_iou,0.07224403189536711,0.04817258549395775,0.09593917824612384,0.27075913756647485,508,0.0001999600079984003
planner,astar8_start24,semantic_clean_minus_rgbd_concat_baseline,utility,0.15354330708661418,0.10826771653543307,0.20078740157480315,0.5292688232577759,508,0.0001999600079984003
planner,astar8_start24,semantic_clean_minus_rgbd_concat_baseline,found,-0.05905511811023622,-0.09448818897637795,-0.025590551181102362,0.3977955687413353,508,0.001999600079984003
planner,astar8_start24,semantic_clean_minus_rgbd_concat_baseline,success,0.047244094488188976,0.017716535433070866,0.07677165354330709,0.3407444620629873,508,0.002999400119976005
planner,astar8_start24,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.1062992125984252,-0.13385826771653545,-0.08070866141732283,0.3210554663369898,508,0.0001999600079984003
planner,astar8_start24,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.08601055450425721,0.07089359812775399,0.10110351509611692,0.1758359931990369,508,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgb_baseline,utility,0.07489878542510121,0.03441295546558704,0.11538461538461539,0.46854127117865557,494,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgb_baseline,found,0.1194331983805668,0.08502024291497975,0.15384615384615385,0.39250958644007167,494,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgb_baseline,success,0.09716599190283401,0.06680161943319839,0.12753036437246965,0.34692515571617116,494,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgb_baseline,unsafe,0.022267206477732792,0.0,0.044534412955465584,0.2577601316221026,494,0.07698460307938412
planner,astar8_start48,semantic_clean_minus_rgb_baseline,map_iou,0.07910358698679432,0.054928126484901356,0.10285947355418866,0.2690478434830545,494,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgbd_concat_baseline,utility,0.1396761133603239,0.0951417004048583,0.1862348178137652,0.5239929938101705,494,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgbd_concat_baseline,found,-0.04251012145748988,-0.07489878542510121,-0.010121457489878543,0.38244247456009983,494,0.01919616076784643
planner,astar8_start48,semantic_clean_minus_rgbd_concat_baseline,success,0.048582995951417005,0.018218623481781375,0.07894736842105263,0.3454544236477236,494,0.003999200159968006
planner,astar8_start48,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.09109311740890688,-0.11740890688259109,-0.06477732793522267,0.3017891534451131,494,0.0001999600079984003
planner,astar8_start48,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.09704330558826743,0.08298790715699637,0.11120712990949976,0.1613579840930069,494,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgb_baseline,utility,0.08,0.035789473684210524,0.12210526315789473,0.4794511630203007,475,0.0007998400319936012
planner,astar8_start64,semantic_clean_minus_rgb_baseline,found,0.12631578947368421,0.09052631578947369,0.16421052631578947,0.40152938800754157,475,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgb_baseline,success,0.1031578947368421,0.07157894736842105,0.13473684210526315,0.3496389432378349,475,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgb_baseline,unsafe,0.023157894736842106,0.0,0.04842105263157895,0.2707438696427769,475,0.09298140371925614
planner,astar8_start64,semantic_clean_minus_rgb_baseline,map_iou,0.08406361700283795,0.05983113433657837,0.1082810908862695,0.26759125735486333,475,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgbd_concat_baseline,utility,0.16842105263157894,0.12421052631578948,0.2168421052631579,0.5247589677550979,475,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgbd_concat_baseline,found,-0.042105263157894736,-0.07578947368421053,-0.008421052631578947,0.3874559856229163,475,0.022395520895820836
planner,astar8_start64,semantic_clean_minus_rgbd_concat_baseline,success,0.06315789473684211,0.03368421052631579,0.09473684210526316,0.3315519801222497,475,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.10526315789473684,-0.13473684210526315,-0.07578947368421053,0.32065611173689806,475,0.0001999600079984003
planner,astar8_start64,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.10471551537689326,0.09129154714170049,0.11787945785135796,0.15163979344634101,475,0.0001999600079984003
planner,dijkstra4,semantic_clean_minus_rgb_baseline,utility,0.0531496062992126,0.013779527559055118,0.09448818897637795,0.4732800494286881,508,0.015196960607878424
planner,dijkstra4,semantic_clean_minus_rgb_baseline,found,0.12007874015748031,0.08464566929133858,0.15551181102362205,0.3964218581836109,508,0.0001999600079984003
planner,dijkstra4,semantic_clean_minus_rgb_baseline,success,0.08661417322834646,0.05905511811023622,0.11614173228346457,0.33877891989320913,508,0.0001999600079984003
planner,dijkstra4,semantic_clean_minus_rgb_baseline,unsafe,0.03346456692913386,0.011811023622047244,0.05708661417322835,0.2753197974219703,508,0.008598280343931213
planner,dijkstra4,semantic_clean_minus_rgb_baseline,map_iou,0.07224403189536711,0.04818783812577965,0.09552261705520007,0.27075913756647485,508,0.0001999600079984003
planner,dijkstra4,semantic_clean_minus_rgbd_concat_baseline,utility,0.15354330708661418,0.11023622047244094,0.19881889763779528,0.5217623414176094,508,0.0001999600079984003
planner,dijkstra4,semantic_clean_minus_rgbd_concat_baseline,found,-0.05511811023622047,-0.09055118110236221,-0.01968503937007874,0.4081436614108731,508,0.002599480103979204
planner,dijkstra4,semantic_clean_minus_rgbd_concat_baseline,success,0.04921259842519685,0.021653543307086614,0.07874015748031496,0.3256602610088241,508,0.0005998800239952009
planner,dijkstra4,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.10433070866141732,-0.13385826771653545,-0.07677165354330709,0.3366808415033356,508,0.0001999600079984003
planner,dijkstra4,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.08601055450425721,0.07022160083196212,0.1016179675183069,0.1758359931990369,508,0.0001999600079984003
planner,dijkstra8,semantic_clean_minus_rgb_baseline,utility,0.06496062992125984,0.021653543307086614,0.1062992125984252,0.4800893638308473,508,0.003799240151969606
planner,dijkstra8,semantic_clean_minus_rgb_baseline,found,0.11220472440944881,0.07874015748031496,0.14566929133858267,0.388707286341475,508,0.0001999600079984003
planner,dijkstra8,semantic_clean_minus_rgb_baseline,success,0.08858267716535433,0.0610236220472441,0.11811023622047244,0.34117149241084654,508,0.0001999600079984003
planner,dijkstra8,semantic_clean_minus_rgb_baseline,unsafe,0.023622047244094488,0.0,0.04921259842519685,0.2727482147061394,508,0.06858628274345131
planner,dijkstra8,semantic_clean_minus_rgb_baseline,map_iou,0.07224403189536711,0.04881987613107887,0.09565823797955422,0.27075913756647485,508,0.0001999600079984003
planner,dijkstra8,semantic_clean_minus_rgbd_concat_baseline,utility,0.14173228346456693,0.09645669291338582,0.1889763779527559,0.5213305606168124,508,0.0001999600079984003
planner,dijkstra8,semantic_clean_minus_rgbd_concat_baseline,found,-0.05511811023622047,-0.08858267716535433,-0.021653543307086614,0.39337886168838077,508,0.003199360127974405
planner,dijkstra8,semantic_clean_minus_rgbd_concat_baseline,success,0.04330708661417323,0.013779527559055118,0.07283464566929133,0.3412682116705581,508,0.007598480303939212
planner,dijkstra8,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.0984251968503937,-0.12598425196850394,-0.07086614173228346,0.311130597709904,508,0.0001999600079984003
planner,dijkstra8,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.08601055450425721,0.07065026267291387,0.10079522971181759,0.1758359931990369,508,0.0001999600079984003
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgb_baseline,utility,-0.01593625498007968,-0.06772908366533864,0.03386454183266932,0.5924887628067002,502,0.5962807438512298
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgb_baseline,found,0.11952191235059761,0.08167330677290836,0.15737051792828685,0.43044952889285415,502,0.0001999600079984003
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgb_baseline,success,0.05179282868525897,0.0199203187250996,0.08565737051792828,0.38601652218210997,502,0.004199160167966407
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgb_baseline,unsafe,0.06772908366533864,0.037848605577689244,0.09760956175298804,0.34518996232592836,502,0.0003999200159968006
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgb_baseline,map_iou,0.07407692931661339,0.05114421450810014,0.09808785833067292,0.26515501440401973,502,0.0001999600079984003
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,utility,0.13545816733067728,0.08366533864541832,0.18730079681274828,0.6073219979751917,502,0.0001999600079984003
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,found,-0.11155378486055777,-0.14940239043824702,-0.07370517928286853,0.4462149264362058,502,0.0001999600079984003
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,success,0.01195219123505976,-0.021912350597609563,0.04780876494023904,0.38929868580774324,502,0.5712857428514297
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.12350597609561753,-0.1553784860557769,-0.09163346613545817,0.3638961639367578,502,0.0001999600079984003
planner,dijkstra8_footprint_r1,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.09801048204522331,0.08306822750967628,0.11299001969953715,0.1749846753194903,502,0.0001999600079984003
planner,nominal_astar8,semantic_clean_minus_rgb_baseline,utility,0.07677165354330709,0.03740157480314961,0.11619094488188905,0.4615510799809485,508,0.0003999200159968006
planner,nominal_astar8,semantic_clean_minus_rgb_baseline,found,0.11220472440944881,0.07874015748031496,0.14566929133858267,0.388707286341475,508,0.0001999600079984003
planner,nominal_astar8,semantic_clean_minus_rgb_baseline,success,0.09448818897637795,0.06496062992125984,0.12401574803149606,0.3424720634718206,508,0.0001999600079984003
planner,nominal_astar8,semantic_clean_minus_rgb_baseline,unsafe,0.017716535433070866,-0.003937007874015748,0.03937007874015748,0.2545078833447405,508,0.16296740651869626
planner,nominal_astar8,semantic_clean_minus_rgb_baseline,map_iou,0.07224403189536711,0.04865599080485598,0.0958995272389117,0.27075913756647485,508,0.0001999600079984003
planner,nominal_astar8,semantic_clean_minus_rgbd_concat_baseline,utility,0.14960629921259844,0.1062992125984252,0.1968503937007874,0.5266655205462323,508,0.0001999600079984003
planner,nominal_astar8,semantic_clean_minus_rgbd_concat_baseline,found,-0.05511811023622047,-0.08858267716535433,-0.021653543307086614,0.39337886168838077,508,0.0021995600879824036
planner,nominal_astar8,semantic_clean_minus_rgbd_concat_baseline,success,0.047244094488188976,0.017716535433070866,0.07677165354330709,0.3407444620629873,508,0.002999400119976005
planner,nominal_astar8,semantic_clean_minus_rgbd_concat_baseline,unsafe,-0.10236220472440945,-0.12992125984251968,-0.07480314960629922,0.3161565454820529,508,0.0001999600079984003
planner,nominal_astar8,semantic_clean_minus_rgbd_concat_baseline,map_iou,0.08601055450425721,0.07085982728366232,0.10177518699580299,0.1758359931990369,508,0.0001999600079984003
