profile,bit_index,bit_weight,conditional_flip_probability,payload_ber_mean,iou_mean,iou_std,f1_mean,f1_std
ideal_q8,,,0.0,0.0,0.6584332294413809,0.0,0.7940424947504996,0.0
bit_7,7,128,0.1,0.012498329696341307,0.4666063345104712,0.0006405066164582849,0.6363072799991044,0.00059558970307134
bit_6,6,64,0.1,0.012505205570425025,0.6555585159050666,0.0012848219703084857,0.7919477409932725,0.000937917506179725
bit_5,5,32,0.1,0.012502913612397118,0.6595632308197161,0.00043189429189331946,0.794863553073918,0.0003135935018110799
bit_4,4,16,0.1,0.012478957941502701,0.6593071900333043,0.000380225988129269,0.7946776118287623,0.00027615326569476
bit_3,3,8,0.1,0.01250699518148791,0.6588111837608555,0.00012097751039653452,0.7943172615320192,8.793453491216671e-05
bit_2,2,4,0.1,0.012484326774691358,0.6584774076481489,8.876990086499465e-05,0.7940746153631477,6.454466684381657e-05
bit_1,1,2,0.1,0.012520244582690328,0.6584193493451269,3.167955256381702e-05,0.7940324010814573,2.303676547021692e-05
bit_0,0,1,0.1,0.012517010724103009,0.6584297868441887,2.710491408732914e-05,0.7940399910809474,1.9710091316860323e-05
