name,label,mode,ebn0_db,repeats,payload_bits,empirical_ber,residual_ber,theoretical_ber,theoretical_residual_ber,mean_encoder_ms,mean_channel_ms,mean_decoder_ms,mean_inference_ms
clean_float32,Float32 reference,clean,,1,65536,0.0,0.0,0.0,0.0,4.051324789361906,0.050173361621202735,2.4125703691406724,6.514068520123781
q8_ideal,8-bit ideal link,q8,,1,16448,0.0,0.0,0.0,0.0,4.328401421629254,0.48604487982761657,2.6921246428323906,7.50657094428926
q8_bpsk_ebn0_0,BPSK 0 dB,bpsk_awgn,0,3,16448,0.07864916041592473,0.07864916041592473,0.07864960352514255,0.07864960352514255,4.609958071470373,1.5474177092350914,3.2067349009659822,9.364110681671448
q8_bpsk_ebn0_2,BPSK 2 dB,bpsk_awgn,2,3,16448,0.0375040748067278,0.0375040748067278,0.03750612835892598,0.03750612835892598,4.5600000481233565,1.5335243570300816,3.146061493222693,9.23958589837613
q8_bpsk_ebn0_4,BPSK 4 dB,bpsk_awgn,4,3,16448,0.012473168875756767,0.012473168875756767,0.012500818040737556,0.012500818040737556,4.360699287751921,1.5017962500458302,3.0128921635081003,8.875387701305852
q8_bpsk_ebn0_6,BPSK 6 dB,bpsk_awgn,6,3,16448,0.0024019623527273266,0.0024019623527273266,0.0023882907809328075,0.0023882907809328075,4.295702473435583,1.49877136451584,2.958395014338351,8.752868852289774
q8_bpsk_ebn0_8,BPSK 8 dB,bpsk_awgn,8,3,16448,0.00018852501966108736,0.00018852501966108736,0.00019090777407599314,0.00019090777407599314,4.293436278055748,1.4725372274622943,2.914980199393186,8.680953704911229
q8_rep3_ebn0_0,BPSK 0 dB + repetition-3,bpsk_awgn_rep3,0,3,49216,0.07861313634222163,0.01756772062151294,0.07864960352514255,0.01758426523980073,4.327547439402332,1.6672584971816324,2.9793529452204153,8.97415888180438
q8_rep3_ebn0_2,BPSK 2 dB + repetition-3,bpsk_awgn_rep3,2,3,49216,0.037478802890179845,0.00411001931794575,0.03750612835892598,0.00411460852694952,4.24159790835001,1.6125567924719506,2.8945356597487106,8.748690360570672
